icao24,callsign,origin_country,time_position_unix,longitude,latitude,baro_altitude_m,velocity_m_s,heading_deg,squawk,last_contact_unix
f0ae52,DLH5534,United Kingdom,1758539768,2.348929,49.08351,8050.3,70.4,327.3,3818,1758539768
3d6402,VLG3266,Spain,1758539146,2.491154,48.840927,8375.2,87.3,340.6,6913,1758539149
cd8292,RYR2603,United Kingdom,1758539526,2.527589,48.662121,7803.3,163.1,236.1,6010,1758539529
b3689d,BAW8990,Netherlands,1758539327,2.225844,48.656267,12630.3,199.9,189.6,2140,1758539330
63bd89,DLH459,Germany,1758539108,2.254473,48.870511,9998.7,135.2,196.0,2073,1758539108
b5232d,KLM9558,Netherlands,1758539243,2.32722,49.053797,6670.9,176.4,188.5,1153,1758539246
5dc051,AFR2455,United Kingdom,1758539205,2.229546,48.922405,1828.3,82.4,245.6,5347,1758539208
3653f9,AFR4072,United Kingdom,1758539197,2.276921,48.989795,6748.0,182.3,273.6,1519,1758539200
66182d,EZY7412,Netherlands,1758539667,2.36665,48.860336,12257.1,209.8,315.6,3126,1758539668
e5226b,BAW6827,France,1758539140,2.317328,48.789031,8823.7,155.7,76.6,3480,1758539140
4f13a0,TVF2343,Germany,1758539205,2.488991,49.07572,3088.8,260.5,143.4,4991,1758539206
728a66,BAW7071,Netherlands,1758539317,2.321333,48.835362,4829.0,88.4,131.7,3768,1758539320
09420a,VLG5432,Netherlands,1758539549,2.398374,48.875395,1116.5,267.0,283.8,1858,1758539549
8b3928,AFR2975,Germany,1758539729,2.444522,49.010702,11089.8,205.2,340.6,4325,1758539730
fd3dca,TVF1466,Germany,1758539451,2.200134,48.95281,5701.5,84.5,337.8,6197,1758539451
85670e,RYR9965,United Kingdom,1758539180,2.203318,49.029621,6062.9,137.8,199.1,3194,1758539181
7a144e,RYR2646,Germany,1758539956,2.197633,48.738778,4262.3,131.0,273.4,3375,1758539959
5b15b1,EZY5686,France,1758539488,2.528075,48.666258,534.1,171.1,352.1,5212,1758539491
e4e477,RYR7081,Ireland,1758539749,2.353251,49.01723,5292.2,171.3,247.6,2880,1758539751
478939,VLG5695,France,1758539797,2.472946,48.656272,8243.2,246.0,155.1,1453,1758539797
c302ef,EZY9811,United Kingdom,1758539319,2.42244,48.669904,2654.0,123.8,1.3,3983,1758539321
a5a63c,DLH565,Germany,1758539440,2.256253,48.730501,4558.7,86.8,100.4,6374,1758539441
0288e0,RYR4329,France,1758539746,2.230353,48.908192,5303.5,129.9,226.7,1692,1758539747
c76eb3,TVF8097,United Kingdom,1758539327,2.279462,48.922231,2138.4,235.0,257.4,5202,1758539330
475353,AFR9570,Ireland,1758539249,2.419013,48.955063,3220.2,76.2,47.9,3954,1758539249
e71c16,AFR309,Ireland,1758539615,2.366005,48.757606,3650.2,161.4,25.2,5120,1758539615
21d15a,KLM4132,France,1758539325,2.476147,48.753306,9906.8,116.1,234.0,4771,1758539328
c3def7,RYR7849,Ireland,1758539135,2.280562,48.670569,8336.5,109.7,215.9,3717,1758539137
9bdc90,BAW205,Spain,1758539333,2.201231,48.76826,8834.4,208.4,243.3,3382,1758539335
ee8a21,KLM1942,Netherlands,1758539525,2.249738,49.080375,12190.4,73.5,165.2,7716,1758539528
c610fc,DLH3453,France,1758539725,2.383515,48.712366,6955.6,260.5,47.7,7719,1758539727
baf9fd,DLH8158,Spain,1758539885,2.317928,48.719989,12364.5,206.3,146.0,6957,1758539886
b01b8b,VLG5179,France,1758539574,2.474081,48.650766,9834.3,237.8,43.2,2603,1758539574
9464fc,EZY6099,France,1758539243,2.317515,49.089469,7782.5,142.1,154.1,3254,1758539243
341350,AFR4680,Ireland,1758539713,2.507456,48.759703,3674.7,172.2,68.3,4058,1758539716
ccd242,DLH1321,France,1758539971,2.506713,48.83079,8109.4,97.7,313.0,4977,1758539971
412ef3,BAW7737,Spain,1758539437,2.300282,48.78102,9685.7,265.3,93.7,6373,1758539438
f763a2,VLG1962,United Kingdom,1758539692,2.405122,48.683075,6657.7,232.4,198.1,4710,1758539694
e66137,VLG2288,Netherlands,1758539223,2.247342,48.689914,4642.8,88.2,86.1,3116,1758539224
d3581e,VLG6782,Ireland,1758539980,2.363459,48.815821,4595.2,82.4,99.9,3950,1758539981
6e92b8,RYR4441,United Kingdom,1758539297,2.314596,48.934148,5784.3,132.4,293.2,1178,1758539298
d9b3cc,KLM9621,Spain,1758539967,2.180063,48.822269,12070.7,235.1,308.0,4677,1758539968
37d4e0,DLH2530,United Kingdom,1758539199,2.362828,48.950113,12256.9,214.3,233.0,7265,1758539202
143f68,AFR2059,United Kingdom,1758539913,2.379284,48.66654,9380.8,262.5,225.5,5327,1758539916
396974,RYR1153,Germany,1758539285,2.363553,48.906472,5228.6,114.7,216.4,1085,1758539287
8ea523,TVF3971,Spain,1758539529,2.364197,48.890681,671.9,152.4,233.9,1453,1758539529
ff2285,VLG1329,Germany,1758539802,2.259744,48.836702,5001.8,168.6,250.5,6884,1758539805
caef76,DLH111,Germany,1758539629,2.438695,48.872146,2906.3,264.0,112.2,7717,1758539630
ee236e,DLH4343,Germany,1758539764,2.218153,48.924383,8048.2,249.3,174.6,6450,1758539764
4af2b8,VLG891,United Kingdom,1758539391,2.18827,48.912296,5575.4,212.0,66.3,4683,1758539393
39f614,RYR2714,Germany,1758539250,2.246739,48.937086,6964.9,163.5,112.3,6942,1758539253
bf6dac,TVF7249,United Kingdom,1758539141,2.218135,48.684426,1325.7,154.0,318.7,5596,1758539142
b6981a,EZY7086,France,1758539611,2.19724,48.858324,5033.5,253.9,69.5,3983,1758539614
d2549e,DLH6632,France,1758539969,2.311449,48.854182,10502.4,82.4,70.2,1514,1758539971
8b6cd3,TVF715,Germany,1758539629,2.441253,48.953414,12037.7,129.5,259.8,5878,1758539629
77bd51,RYR7786,Ireland,1758539976,2.514872,49.069721,5208.7,120.2,154.8,5042,1758539977
5daa36,AFR4970,Ireland,1758539492,2.450483,48.917192,4463.1,133.9,130.3,7408,1758539492
65060d,VLG2621,United Kingdom,1758539476,2.322715,48.9358,6417.5,178.9,57.8,4494,1758539476
879fd5,RYR3414,France,1758539927,2.327371,49.08491,12645.9,104.6,47.9,4775,1758539928
3e094d,EZY4814,Germany,1758539235,2.378409,48.814107,9673.5,109.8,89.1,3009,1758539236
900da4,DLH5347,France,1758539843,2.318624,49.086677,6743.0,116.3,291.0,6352,1758539846
3464ea,AFR7779,United Kingdom,1758539963,2.474195,49.052325,812.6,128.7,42.9,2552,1758539964
be95d7,BAW7359,Netherlands,1758539924,2.270982,48.992222,12310.4,91.2,214.6,6078,1758539926
132d3c,TVF5571,United Kingdom,1758539778,2.195458,49.089944,785.6,216.4,329.0,7674,1758539778
a78d36,VLG6092,United Kingdom,1758539162,2.397355,48.684291,699.6,169.1,174.1,4343,1758539162
ca6454,BAW8750,France,1758539186,2.40857,48.82502,3743.8,267.6,240.4,4422,1758539186
b6e085,VLG6824,France,1758539681,2.482486,49.088513,4920.0,109.4,262.1,2668,1758539681
502988,VLG1861,France,1758539556,2.322176,49.038449,6153.5,102.5,5.3,5518,1758539557
cb1ec5,RYR9386,Netherlands,1758539344,2.50453,48.97439,2480.4,139.6,58.3,2407,1758539344
c478e1,KLM3234,Germany,1758539889,2.224328,49.064953,12689.4,166.5,19.2,6213,1758539892
520fb7,DLH6628,Netherlands,1758539912,2.476223,49.014843,2623.7,113.6,143.9,5242,1758539913
b7ea11,RYR2449,United Kingdom,1758539608,2.519742,49.008886,2746.0,246.8,303.3,6507,1758539608
a5fde8,RYR6388,Netherlands,1758539317,2.339507,49.023564,10181.7,199.8,111.0,3041,1758539320
bc2268,KLM8251,Spain,1758539602,2.242567,48.651544,12823.9,163.1,160.9,6067,1758539605
5bf078,KLM6560,France,1758539144,2.203492,48.807773,4939.7,230.5,181.6,6382,1758539144
42b2e0,RYR5141,Ireland,1758539959,2.359019,48.673877,6699.8,145.6,342.3,2115,1758539959
21fca5,RYR3174,United Kingdom,1758539123,2.523605,48.866423,12449.3,253.2,59.4,7458,1758539124
b3a8d2,EZY2602,Germany,1758539933,2.493788,48.770997,10658.5,98.7,180.8,4933,1758539934
869697,DLH5228,Germany,1758539394,2.192892,48.730122,2347.6,257.3,244.7,4087,1758539395
8757af,RYR8696,France,1758539189,2.402712,48.808303,11386.5,181.0,208.8,1856,1758539191
c9dbf9,TVF4338,Spain,1758539452,2.526674,48.904039,4875.2,222.9,159.2,2447,1758539452
81debd,EZY9599,Ireland,1758539697,2.493503,48.972537,9788.4,114.3,104.7,6125,1758539700
